X,Y,Cu_ppm,Fe2O3_%,Au_ppb,Ni_ppm,Zn_ppm,Pb_ppm,X_scaled,Y_scaled,Ni_ppm_scaled,Zn_ppm_scaled,Pb_ppm_scaled,Predicted_Cu_ppm,Predicted_Fe2O3_%,Predicted_Au_ppb
77.194444,15.599099,25.5,4.81,1.5,59.4,48.3,32.1,0.7238393401723915,1.411171543475032,0.5052762348300689,0.6234804099323027,1.3239489426816375,25.85427699457524,4.967842051237531,1.5011906026252984
77.212963,15.599099,27.2,4.91,1.5,69.3,49.1,26.8,0.7615075715275436,1.411171543475032,0.8322560544267604,0.6674609222335894,0.8532983715613184,27.50116788273782,5.221938254549632,1.5011906026252984
77.231481,15.599099,21.8,4.33,1.5,54.8,40.3,27.3,0.7991737688510924,1.411171543475032,0.3533462176437273,0.1836752869194365,0.8976993688368201,21.73168809868781,4.4103194634715415,1.50159382843175
77.25,15.599099,25.5,4.88,1.5,60.4,41.2,29.2,0.8368420002062444,1.411171543475032,0.5383044994357953,0.23315336325838426,1.066423158483727,24.29596391507679,5.029753811306604,1.5297934252059435
77.009259,15.617117,23.7,4.98,1.5,55.1,52.7,22.7,0.347167196778858,1.4433025996593989,0.3632546970254454,0.8653732275893793,0.4892101939022035,27.617954653140824,4.731448715316423,1.5545625
77.027778,15.617117,25.3,4.73,1.5,83.3,41.7,35.2,0.38483542813401006,1.4433025996593989,1.2946517589069302,0.2606411834466884,1.5992351257897488,27.081685494876265,5.370538845665589,1.5067927631578948
77.046296,15.617117,29.0,5.96,1.5,84.1,47.2,26.1,0.4225016254575589,1.4433025996593989,1.3210743705915113,0.5630072055180338,0.7911369753756159,28.97724292780835,5.735884396304599,1.5901875
77.064815,15.617117,27.4,5.25,1.5,75.6,47.0,27.9,0.46016985681271094,1.4433025996593989,1.0403341214428368,0.5520120774427121,0.9509805655674222,27.456456817316226,5.4236629244424295,1.531237207602339
77.083333,15.617117,30.4,6.08,1.5,82.3,51.2,27.8,0.4978360541362598,1.4433025996593989,1.261623494301204,0.7829097670244669,0.942100366112322,29.674794686244862,5.828056287590674,1.5001875
77.101852,15.617117,22.2,5.08,1.5,62.5,45.9,26.8,0.5355042854914119,1.4433025996593989,0.6076638551078208,0.4915388730284429,0.8532983715613184,25.053070530326632,4.9774593050484155,1.5001875
77.12037,15.617117,28.1,5.29,1.5,71.6,47.0,27.4,0.5731704828149607,1.4433025996593989,0.908221063019931,0.5520120774427121,0.9065795682919203,27.211230227313557,5.434772976818485,1.5046875
